"","PC1.dn","PC2.dn","PC3.dn","PC4.dn","PC5.dn","PC6.dn","PC7.dn","PC8.dn","PC1.ds","PC2.ds","PC3.ds","PC4.ds","PC5.ds","PC6.ds","PC7.ds","PC8.ds","PC9.ds","PC10.ds","PC1.dnds","PC2.dnds","PC3.dnds","PC4.dnds","PC5.dnds","PC6.dnds","PC7.dnds","PC1.ran","PC2.ran","PC3.ran","PC4.ran","PC5.ran","PC6.ran","PC7.ran","PC8.ran","PC9.ran","PC10.ran","PC11.ran","PC12.ran","PC13.ran","PC14.ran","PC15.ran","PC16.ran"
"Struthionidae",-0.0488942615708379,0.075387919689363,-0.00543894319507564,0.0437493609028821,-0.0438673240461641,0.0665086473766217,-0.0818956964636565,0.00255257224434667,0.039341685204774,-0.0438313093999057,0.0250541701243903,0.00551795979099819,-0.0337889455377671,0.0178471992380404,-0.0379741441666461,0.00928274053985299,-0.00733909076827968,0.0194613393276511,-0.0494065580952271,-0.0753881062690376,0.00385559652575178,-0.0103758067224475,0.0947265076131577,-0.00166530084241598,0.0010838443460248,-0.0582758880318146,-0.0165260342863024,0.0384396776160204,-0.0620027561056672,-0.0012468223219692,0.0185011445480989,-0.0221645462749026,0.0280263016307817,-0.0800171010616823,0.0146351979344862,-0.000831350859672193,0.0239101507016865,-0.0156166129336434,0.00514334135888923,-0.0392761487491737,0.00352125020580004
"Casuariidae",-0.0516497869145741,0.0676295170385992,0.0308758607005101,0.0217297069079407,0.00616480668733035,0.0658538117132755,-0.0170664928081773,0.0239480557498868,0.0319969670633826,-0.0428652702968926,0.0296903053109968,-0.030296981368825,-0.00525283950973529,0.0177481711284938,-0.0139492813002414,-0.0014262761243237,-0.00646702696039114,0.00701651213706583,-0.0545119562418973,-0.0657414326289647,0.0116170783458774,0.0356262105428127,0.0520085843586619,-0.013515814117133,0.0224039848507781,-0.052241221551871,-0.0118004835506292,0.0665939528204346,0.0270898336446612,0.0450398415085303,0.0120150224635096,0.0187987664679294,0.0127179883410182,-0.107896906067557,0.0276149804192323,0.00118330544097393,0.0240310944024397,-0.0496623462858797,0.0177731148124784,-0.0407125525909474,0.000961106608790624
"Apterygidae",-0.0513761653308553,0.0666495804090059,0.0347158762933541,0.0257463794735004,0.00249540054820685,0.0638128658321982,-0.0124758973658726,0.0390116482056906,0.0380837530972424,-0.0323092388354751,0.0329905919444552,-0.0228430413994003,-0.0100446011419434,0.0146415108011319,-0.0285166199396025,-0.0052249116849221,-0.00949301539847952,0.0194561701693071,-0.0512874260172612,-0.0665055073693577,0.00632342170567599,0.0395577931352405,0.0379251913412669,-0.0129605325199335,0.0330456342398658,-0.0223716315955315,-0.00375394006561447,0.0233488406057084,0.00153500858521777,0.00700513171275138,0.00862398526096333,-0.00101633490366454,0.005171465012133,-0.0385193889009999,0.0119635407469915,-0.000912524244985841,0.0156798131610907,-0.0188609678615048,0.000923697048386333,-0.0158017642598291,0.00124244354720822
"Rheidae",-0.0479277635105236,0.0542506850430893,-0.0221445890114771,0.0763723206025967,-0.0147799446074008,0.063495579916966,-0.0246639256862927,0.0433324206310881,0.0617916963359441,-0.0247597526620145,0.0483357396609772,0.0448741889437082,-0.0172658977368746,0.0395599416374609,-0.0352561828958525,0.0111154542110662,0.00352230361821581,0.020736295904612,-0.0513130699407372,-0.0576173888326622,-0.02854960076622,0.0468164322104481,0.0441990386565464,0.01050925375498,0.0397890358096792,-0.0435908265566918,-0.0122988450645858,0.0340392142524552,-0.0282570139887572,0.00689744248397951,0.0165378969953584,-0.00282312546738797,0.0263957905325286,-0.0652480964806366,0.0107822847306355,0.003231770881643,0.0246184095507029,-0.0114037815558298,-0.00792530996711864,-0.0263665554073579,0.00329659943409736
"Tinamidae",-0.0433376653943137,0.0505059808995034,-0.021643077010379,0.0780071103039301,-0.0232707133818639,0.0672231283276274,-0.026138758500243,0.036324871023249,0.0331926740578474,-0.0379382490667534,0.0399742971500632,-0.028803578638658,-0.000743997365763693,0.0412178657029857,-0.0111417082694654,-0.0132196278484901,0.0112803470927317,-0.000783845057647031,-0.05105858166332,-0.0494947822320444,-0.0160928445771962,0.0505309174645923,0.0618581128233224,0.0335005831709515,0.0566831101104111,-0.0192500024944257,-0.00792468991055328,0.0275770374513212,0.0146342823493196,0.0148339029036837,0.0130711045441141,0.015153766030363,0.00888065151366224,-0.0268438319237017,0.0151560684365739,0.00755396923750401,0.00568510182195515,-0.015092877369875,0.00415057878169392,-0.0123970504725427,-0.000768533380138503
"Anhimidae",-0.0555606584640253,0.0854674766660628,0.00881946795723284,-0.00493518916181371,-0.0202188723439939,0.0290191664709358,0.0336914010047655,0.0837367855078407,0.0395600747426656,-0.0437446054602239,0.0251367953100091,-0.00632540937470409,-0.0180298981668201,0.0154881982593863,-0.0232726838729215,-0.00402107539572948,-0.00516926848634675,0.00882859317393084,-0.0648974235448994,-0.0927050974629732,0.0282919252182162,0.0157125287163894,-0.0635528260826105,-0.0511444099280382,0.0771092496887055,-0.0700016786556447,-0.0228844783336122,0.0570231158881977,-0.069452017874056,0.0138379867560061,0.0134697167702184,-0.0254095526892992,0.0385989083611636,-0.0881385014730861,0.0166705097996289,-0.00129664116560749,-0.0240369312393434,-0.0197523863688439,-0.00207055740314026,-0.038411732789718,0.0292438864674697
"Anseranatidae",-0.0600354443029231,0.0776100910308643,0.000314715499524424,0.0220832271179655,-0.000354106685092573,0.0801078222979946,-0.0151214245719067,0.0409368884176757,0.0464903485736937,-0.0386598426654141,0.0310889856031251,0.00381803944133274,-0.0166918681092268,0.0213247691357458,-0.015531340708967,0.0171221611319129,0.00270202044100246,0.0115992628654042,-0.0573521188192313,-0.0687110258773326,0.0131780941435492,0.0424401714516641,0.0313573085453835,-0.0375629403026114,0.0404247096940288,-0.0674600693878474,-0.0228631797429228,0.0617645728559666,-0.045207284717222,0.0153333610767992,0.0154225454313544,-0.00645459057841546,0.0541101084023846,-0.0919265538864098,0.020295321066255,0.000989514799689742,-0.0156421262635955,-0.0137123042911115,0.00780593357952841,-0.0367154034729582,0.0140698572439931
"Anatidae",-0.0585286958785514,0.0794069413053229,0.00257393341515809,0.0418979595658674,-0.0133616627449468,0.0814465853860016,-0.0133810785864885,0.0464174551587539,0.0402592250706969,-0.0522282123183521,0.0418536849202274,-0.0328436058251005,-0.0153132017257839,0.0129268698817157,-0.0314581160531413,-0.00846589745889503,-0.000253514690994938,0.00341629069405233,-0.0625246767834362,-0.0721316672203573,0.0223518728561913,0.053597870236884,0.0538346138760554,-0.0126418203996425,0.0617374605968069,-0.0282248957441556,-0.0100243360525057,0.0338964816920078,-0.00922393596295873,0.00877187257266523,0.00770517037394182,0.0114449358940258,0.0176592066458606,-0.0348324854983092,0.0101808381240084,0.00441086461865678,-0.00794844048266538,-0.0133165689849772,0.00428050179223734,-0.0166767857076101,0.00156389816974244
"Megapodiidae",-0.0483118381394408,0.0585172076903567,-0.0225881696351636,0.0360927921829539,-0.0204928225296179,0.033163797122879,-0.028224680663613,0.0430776017153461,0.0282845207242341,-0.0351178478494413,0.0282083027007268,0.011926435182932,-0.0147517752704143,0.0111392788743346,-0.00841042637684203,-0.00440549920064903,-0.00167163323382469,0.00315891840507532,-0.0607684938895228,-0.0671103273862656,-0.00145455328952859,0.0149215636808765,0.0405639872618804,0.00652160304596355,0.0162082635152541,-0.0724554266501106,-0.0269038150034099,0.0821744035341453,-0.00761345971194218,-0.00998106630034656,0.0227563284800738,0.0553584939976619,0.0292099190784303,-0.0496679153745158,0.0240160470337668,0.0172302044310857,-0.0185752416878662,-0.0358046598077091,0.0130180614833371,-0.0541345171507906,-0.0039409304358001
"Cracidae",-0.0575079513321569,0.0643161816404582,-0.034048080243246,0.0629396696476093,0.0126070263988678,0.0796339871982755,-0.00567896621749653,0.0645806388696154,0.0390523210870964,-0.037700681072189,0.0408240011574045,-0.0164379124947782,-0.0079418783235189,0.0169159255467678,-0.00405085897363282,-0.00320093726052434,-0.00458906614034835,-0.00134351245700455,-0.0630266375949381,-0.057828409602207,-0.0239768520630301,0.0667890819212986,0.0508752022859216,-0.00580423025124607,0.044944192818537,-0.0624566130011161,-0.0177664847911882,0.0848534685145192,0.0166427602427097,0.0339570088696836,0.0243487261951469,0.0712986667598355,0.0273221824841219,-0.0888156666391672,0.0609032114887696,0.0167830329785309,-0.0251628696335956,-0.0491815867100597,0.0216759871385885,-0.0702481545924331,0.00242439917929312
"Numididae",-0.0707068216347355,0.0668665836985443,-0.00356315690133777,0.0957797306810327,0.0536572000093299,0.114270832662797,0.0367711741110173,0.0860967170958401,0.0442754678841889,-0.0499736976617906,0.0289677463495156,0.00179768944039029,0.0200524613339375,0.00875434655439227,-0.00256660030250935,-0.00352752357840369,-0.0238448038517219,0.0205058215614924,-0.0688579481688706,-0.0527261902660491,0.00749428153945355,0.135774983442749,0.0354540193073818,-0.000849487045188002,0.0961224359160599,-0.0593555680461583,-0.0181173114153661,0.0477775696506148,-0.0333597705218955,-0.0110223251338881,0.0287282141056205,0.0437118316324653,0.0429474224978021,-0.0478212718069085,0.0123554392233725,0.0133006605825224,-0.0140333617036025,-0.0285741447614438,-0.00420915600607896,-0.0333767503509799,-0.0036796996675652
"Odontophoridae",-0.0603745922225271,0.0623200006422838,0.00175073319147999,0.0950114129068494,0.0279848396727659,0.0913346011026472,0.031146085797617,0.0884290749532242,0.0389451174475187,-0.034250711101796,0.0324591738551894,-0.0142025045081991,0.0224064503457284,0.0125401892706015,-0.00708867977497323,-0.0181622482279641,-0.00497441255262115,0.0133019479720375,-0.0628242805897747,-0.0547776534293389,0.00468111329604914,0.114481729236601,0.0345152125721175,0.0393724831434856,0.0882417843121944,-0.0644479351936991,-0.0270699045301505,0.0561252448600949,-0.0401248436720652,0.00845907817069662,0.0255241651309687,0.0649171252401651,0.0530431091876563,-0.0475018995896188,0.0353416892585925,0.0133744615065503,-0.0170904440326079,-0.0399619406895338,0.0099214260962964,-0.0279936802858049,-0.00254788676911767
"Phasianidae",-0.0635914323321763,0.0633182016177471,0.00230128031907804,0.0845354667553425,0.0445958665667135,0.0983203272837955,0.0214979544994487,0.0833596164675308,0.0394917814803166,-0.032114253315967,0.029857279233018,-0.0066206530428083,0.0288224292205706,0.0105952261663013,-0.00678528161006684,-0.00328960853577406,-0.0193447929751432,0.0133076130854999,-0.062056284775047,-0.051250716927871,-0.000650091692667012,0.105242370673864,0.0287026069163042,0.00579753844378341,0.0764208176336765,-0.0535823046529448,-0.0158767860202096,0.0468346179165063,-0.0224676343852938,0.0057701950229081,0.0159529883553285,0.0448636409929565,0.0459073350384515,-0.0517270925428849,0.0257246922500534,0.0141863786069232,-0.0121514647382643,-0.0340189313196139,0.00492022018528134,-0.0239575764850923,0.000736125137688351
"Phoenicopteridae",-0.0402451931636112,0.0719240971281675,0.0261478756409668,-0.0389782499554312,-0.09811161063116,-0.0250677494126134,-0.093695323243557,-0.0619324479211862,0.027598305650593,-0.0409647877551332,0.0170793339058696,0.003748380260257,-0.0450792108831392,-0.00763423182263221,-0.0404893605736102,-0.00678838764184714,-0.0173894497652909,0.0112131320322647,-0.0364280143819306,-0.0680109298439088,0.0531142543660663,-0.101294615144832,0.0616084939553347,0.0284716140216631,-0.0356665103515411,-0.0674342561666172,-0.0181469177839625,0.0779339576098274,0.0294471775248365,-0.000256160425340811,0.0191194292049605,-0.0644849216114346,0.0241576064522798,-0.0153063193984682,0.00259126893422668,0.0179198955662738,0.00161575775525155,0.0278813385735255,-0.0150994206281162,-0.0092601483205593,-0.000328517238118539
"Podicipedidae",-0.0383770035405479,0.0696987871061593,0.0260528856624817,-0.0129208139927163,-0.104126696135979,-0.0279728046347676,-0.0876415896718173,-0.0607207151662645,0.0183939126755212,-0.0263526306296147,0.0064813770004489,-0.00415279595849747,-0.0237541696602466,-0.0128773710679367,-0.0278683879392736,0.00279555733914384,-0.0135063560784585,0.0129700170987385,-0.0396942831033684,-0.0729017097515111,0.0566829321167573,-0.110877642576832,0.0673793367868403,0.0584714496500957,-0.0325739322178929,-0.059433201505862,-0.0230607967763782,0.0628553180539956,-0.031726282148452,-0.00354509824171594,0.0127937803980848,-0.0172775373003304,0.0231093433311483,0.00440766512056963,-0.00676614077664278,0.00403932653480633,-0.00478143269788125,-0.00406358087533586,-0.0072898233456541,-0.00143837594455185,0.00227403922301665
"Mesitornithidae",-0.0356464707918904,0.058251967902106,-0.0103790607842999,0.0169581230691609,-0.0728700964958176,-0.0234101312067248,-0.0551673270908228,-0.0256629620519459,0.0228136567777434,-0.0185321200485478,0.0224009149870326,0.00471770874681066,-0.0227363613763144,0.000487749492431169,-0.0252736914099739,0.00023159176648659,0.0010485350422508,0.00428683758286197,-0.0378220573444611,-0.0630069606214834,0.0164254454716605,-0.0674587568044218,0.0443846188797497,0.064351011238302,-0.0177172902298289,-0.0640606694378498,-0.0176409331732014,0.074531691819073,0.0296056975730045,0.0142830061263448,0.0157861004944525,0.03214691020561,-0.00570981177534504,0.0145806374863738,0.0176819491842379,-0.00240301369399553,0.00218790180790934,3.90074072517815e-05,0.00420676024757074,-0.00954070354394754,-0.0175497715666386
"Pteroclidae",-0.0346875454883044,0.0590330660521105,-0.0115254673167233,0.0146136415356982,-0.073688086788204,-0.022942141180491,-0.0534347895513086,-0.0149249363438356,0.027727538503023,-0.0227115683734923,0.0236401820276309,0.00701361167421703,-0.029459883614559,-0.00176174990698841,-0.0260672835299035,-0.00375212302293748,5.41692909967958e-05,0.00396398960521959,-0.0420462479127482,-0.0726349654864289,0.00764587114778825,-0.0819435893565465,0.0442209245793667,0.0732558684497769,-0.0198201122207267,-0.0620465448620218,-0.0160113830769135,0.0758324584323225,0.0267173604982047,0.00733600541732856,0.0189847001562226,0.0155451042663435,-0.0109932465313795,-0.00675925465728315,0.0140533255118533,0.000286021574161353,0.00592458767399558,-0.0129388653061334,0.00524012321333145,-0.0139460051657659,-0.0192922825880556
"Columbidae",-0.0512330096556412,0.0511622339896238,-0.0384729559841935,0.0617084615595252,-0.0193623681603595,0.0257705083160189,-0.000856909297247017,0.0209446372393652,0.0556022035691077,-0.0373078806485447,0.0529253996433235,0.0351956516536163,-0.00478680421465944,0.0171349265113482,-0.00372237055775608,0.00431400276081975,0.000485584229253386,-0.00289897988840803,-0.0599475777257031,-0.0562621553998385,-0.0405140129378552,0.0296487890267672,0.0231034677523062,0.048363406306671,0.040768819589498,-0.0466114832199293,-0.0147242467416504,0.0468787286975952,0.0193664284438991,-0.00510933092738346,0.0105528703272717,0.0108800966615545,-0.00487965786368873,0.00655697890521655,0.0123274963190841,0.00878070343776536,0.00185170670132472,-0.00414532865660339,-0.00220395645293887,0.00132809455669028,-0.00596314888376231
"Musophagidae",-0.0601473168870707,0.0723244704208474,-0.0300751770275981,0.0575509194386861,-0.00776284218714911,0.043439466978095,-0.00872150176432348,0.0315202847350555,0.0551765898990145,-0.0522882787217987,0.0599742914655147,0.00284838243868116,-0.00807385267779371,0.0109322650684666,-0.0122300228388763,0.0136450694520206,0.0189601490956989,-0.00326650846165536,-0.0642504633832438,-0.0685435026508635,-0.0205238120927755,0.0333563060725844,0.0273074086834539,0.00910503991956935,0.0405724256923901,-0.0535698398245704,-0.0153937218742289,0.0621804167347568,0.00287099756468956,0.0196247620677918,-0.00327055209834146,-0.00971745892851298,-0.0124511437750909,-0.00813800497299019,0.000479823829905063,0.0106001696316056,-0.00352002422676086,0.000761796660155813,0.00407450011754197,-0.00166333645634442,0.0104852370302483
"Otididae",-0.0474885331367424,0.0639696811261949,-0.0233263376306363,0.0502664822327899,-0.0303898028135761,0.0303892319927467,-0.0523722083451174,0.0036359027644121,0.0538660496499663,-0.0481903089670543,0.0665282770014586,0.0230827219189462,-0.0183373018185116,0.00752841717882926,-0.0198670519932699,0.0147574811634051,0.0074094371617287,-0.0128893846681711,-0.0523509304719131,-0.0683084262663068,-0.0108205745688938,0.0135654910547682,0.0639240164788949,0.0279620001764855,-0.0017474532077905,-0.0486139978735141,-0.0120831941360587,0.0610910526567409,0.0397628534347184,0.0122783993462897,0.0169532710466225,0.00961802948528079,-0.00656209107599594,-0.00616008960589197,0.00602068318951004,0.0037321083501797,0.000360241012819474,-0.0080661424515992,0.00562275456539089,-0.0148193753328555,-0.00525236518015325
"Cuculidae",-0.0448467013602683,0.0587296632534427,-0.0216243509701848,0.0534938582695346,-0.032323282768555,0.025172585577761,-0.0433638273659781,0.0084970795752498,0.0458855227130333,-0.0314542627564693,0.0412124978363728,0.00472833101999007,-0.0203677102222013,0.00735885748047727,-0.0116401889712766,0.000411020532568622,0.00208209526901608,-0.00826806308501828,-0.0545390024019273,-0.0670181822366351,-0.0163661136053805,0.00211472040601081,0.0590506794101136,0.0391397865953584,0.00275980345128986,-0.0577958732316998,-0.0171932858680292,0.0496866702064012,-0.0124069382365926,-0.0161017076792411,0.0149876192605866,0.0132894586078937,-0.00704810455926591,0.0035892044331056,-0.000420069348579111,0.00639112896042155,0.0103807888411996,-6.84157025031672e-05,-0.000334236321967811,0.00101416789080316,-0.000869414567509103
